title,description,required_skills
React Developer,"React Developer — works on modern, responsive web user interfaces.","React, JavaScript, TypeScript, HTML, CSS, REST API"
Angular Developer,"Angular Developer — works on modern, responsive web user interfaces.","Angular, TypeScript, RxJS, HTML, CSS"
Vue.js Developer,"Vue.js Developer — works on modern, responsive web user interfaces.","Vue.js, JavaScript, HTML, CSS, REST API"
Frontend Developer,"Frontend Developer — works on modern, responsive web user interfaces.","HTML, CSS, JavaScript, React, Bootstrap"
JavaScript Developer,"JavaScript Developer — works on modern, responsive web user interfaces.","JavaScript, TypeScript, HTML, CSS, Node.js"
Next.js Developer,"Next.js Developer — works on modern, responsive web user interfaces.","Next.js, React, TypeScript, Tailwind CSS"
UI Developer,"UI Developer — works on modern, responsive web user interfaces.","HTML, CSS, JavaScript, Tailwind CSS, Figma"
Tailwind CSS Developer,"Tailwind CSS Developer — works on modern, responsive web user interfaces.","Tailwind CSS, HTML, CSS, JavaScript"
Web Accessibility Specialist,"Web Accessibility Specialist — works on modern, responsive web user interfaces.","accessibility, HTML, CSS, JavaScript"
jQuery Developer,"jQuery Developer — works on modern, responsive web user interfaces.","jQuery, JavaScript, HTML, CSS"
Python Developer,Python Developer — works on server-side application logic and APIs.,"Python, Flask, FastAPI, SQL, Git"
Django Developer,Django Developer — works on server-side application logic and APIs.,"Python, Django, REST API, PostgreSQL, Git"
Flask Developer,Flask Developer — works on server-side application logic and APIs.,"Python, Flask, REST API, SQL"
FastAPI Developer,FastAPI Developer — works on server-side application logic and APIs.,"Python, FastAPI, REST API, PostgreSQL"
Node.js Developer,Node.js Developer — works on server-side application logic and APIs.,"Node.js, Express.js, JavaScript, MongoDB, REST API"
Express.js Developer,Express.js Developer — works on server-side application logic and APIs.,"Express.js, Node.js, JavaScript, MongoDB"
PHP Developer,PHP Developer — works on server-side application logic and APIs.,"PHP, MySQL, REST API, Git"
Laravel Developer,Laravel Developer — works on server-side application logic and APIs.,"Laravel, PHP, MySQL, REST API"
Ruby on Rails Developer,Ruby on Rails Developer — works on server-side application logic and APIs.,"Ruby, REST API, PostgreSQL, Git"
Java Backend Developer,Java Backend Developer — works on server-side application logic and APIs.,"Java, Spring Boot, SQL, REST API"
Spring Boot Developer,Spring Boot Developer — works on server-side application logic and APIs.,"Spring Boot, Java, REST API, PostgreSQL"
Go Developer,Go Developer — works on server-side application logic and APIs.,"Go, REST API, Docker, PostgreSQL"
C# Developer,C# Developer — works on server-side application logic and APIs.,"C#, .NET, SQL, REST API"
.NET Developer,.NET Developer — works on server-side application logic and APIs.,".NET, C#, Microsoft SQL Server, REST API"
Full Stack Developer,Full Stack Developer — works on full end-to-end web applications.,"JavaScript, React, Node.js, SQL, Git"
MERN Stack Developer,MERN Stack Developer — works on full end-to-end web applications.,"MongoDB, Express.js, React, Node.js"
MEAN Stack Developer,MEAN Stack Developer — works on full end-to-end web applications.,"MongoDB, Express.js, Angular, Node.js"
WordPress Developer,WordPress Developer — works on full end-to-end web applications.,"WordPress, PHP, MySQL, HTML, CSS"
Shopify Developer,Shopify Developer — works on full end-to-end web applications.,"Shopify, Liquid, JavaScript, HTML, CSS"
Magento Developer,Magento Developer — works on full end-to-end web applications.,"Magento, PHP, MySQL, JavaScript"
Drupal Developer,Drupal Developer — works on full end-to-end web applications.,"Drupal, PHP, MySQL, HTML"
WooCommerce Developer,WooCommerce Developer — works on full end-to-end web applications.,"WordPress, WooCommerce, PHP, CSS"
Webflow Developer,Webflow Developer — works on full end-to-end web applications.,"Webflow, HTML, CSS, JavaScript"
Headless CMS Developer,Headless CMS Developer — works on full end-to-end web applications.,"Next.js, React, GraphQL, REST API"
