title,level,location,required_skills,career_title
React Developer,Intern,Remote,"React, JavaScript, TypeScript, HTML, CSS, REST API",React Developer
Entry Angular Developer,Entry,Islamabad,"Angular, TypeScript, RxJS, HTML, CSS",Angular Developer
Senior Vue.js Developer,Senior,Islamabad,"Vue.js, JavaScript, HTML, CSS, REST API",Vue.js Developer
Entry Frontend Developer,Entry,Karachi,"HTML, CSS, JavaScript, React, Bootstrap",Frontend Developer
Entry JavaScript Developer,Entry,Hybrid,"JavaScript, TypeScript, HTML, CSS, Node.js",JavaScript Developer
Mid Next.js Developer,Mid,Karachi,"Next.js, React, TypeScript, Tailwind CSS",Next.js Developer
Entry UI Developer,Entry,On-site,"HTML, CSS, JavaScript, Tailwind CSS, Figma",UI Developer
Tailwind CSS Developer,Intern,Karachi,"Tailwind CSS, HTML, CSS, JavaScript",Tailwind CSS Developer
Web Accessibility Specialist,Intern,Karachi,"accessibility, HTML, CSS, JavaScript",Web Accessibility Specialist
Junior jQuery Developer,Junior,Remote,"jQuery, JavaScript, HTML, CSS",jQuery Developer
Mid Python Developer,Mid,Remote,"Python, Flask, FastAPI, SQL, Git",Python Developer
Junior Django Developer,Junior,Hybrid,"Python, Django, REST API, PostgreSQL, Git",Django Developer
Mid Flask Developer,Mid,Hybrid,"Python, Flask, REST API, SQL",Flask Developer
Entry FastAPI Developer,Entry,Islamabad,"Python, FastAPI, REST API, PostgreSQL",FastAPI Developer
Senior Node.js Developer,Senior,Lahore,"Node.js, Express.js, JavaScript, MongoDB, REST API",Node.js Developer
Senior Express.js Developer,Senior,Hybrid,"Express.js, Node.js, JavaScript, MongoDB",Express.js Developer
PHP Developer,Intern,Islamabad,"PHP, MySQL, REST API, Git",PHP Developer
Laravel Developer,Intern,Lahore,"Laravel, PHP, MySQL, REST API",Laravel Developer
Mid Ruby on Rails Developer,Mid,Remote,"Ruby, REST API, PostgreSQL, Git",Ruby on Rails Developer
Junior Java Backend Developer,Junior,Karachi,"Java, Spring Boot, SQL, REST API",Java Backend Developer
Spring Boot Developer,Intern,Remote,"Spring Boot, Java, REST API, PostgreSQL",Spring Boot Developer
Go Developer,Intern,Hybrid,"Go, REST API, Docker, PostgreSQL",Go Developer
Junior C# Developer,Junior,Remote,"C#, .NET, SQL, REST API",C# Developer
Junior .NET Developer,Junior,Islamabad,".NET, C#, Microsoft SQL Server, REST API",.NET Developer
