skills,interests,education,tools,experience_level,career
"TypeScript, JavaScript, CSS, React, REST API, HTML","user interfaces, web development, design systems",BS Computer Science,Git,entry,React Developer
"JavaScript, CSS, HTML, React, REST API, TypeScript",web development,BS Software Engineering,"Figma, Git",junior,React Developer
"React, REST API, HTML, CSS, JavaScript","design systems, user interfaces",BS Computer Science,"Webpack, VS Code, Git",entry,React Developer
"TypeScript, CSS, REST API, HTML, React, JavaScript",design systems,BS Computer Science,"VS Code, Git",entry,React Developer
"TypeScript, HTML, REST API, React, JavaScript","web development, user interfaces",BS Computer Science,"Git, npm, VS Code",senior,React Developer
"TypeScript, CSS, JavaScript, REST API, HTML",web development,BS Computer Science,"Webpack, Figma",entry,React Developer
"CSS, TypeScript, JavaScript, REST API","user interfaces, design systems",BS Computer Science,"Git, npm",mid,React Developer
"CSS, HTML, REST API, JavaScript, React, TypeScript","user interfaces, web development, design systems",BS Computer Science,Git,senior,React Developer
"React, HTML, CSS, TypeScript, JavaScript, REST API","web development, design systems, user interfaces",BS Software Engineering,Figma,senior,React Developer
"HTML, React, TypeScript, REST API",design systems,BS Computer Science,"Figma, Git, VS Code",mid,React Developer
"Angular, RxJS, TypeScript, CSS, HTML","user interfaces, web development",BS Computer Science,npm,entry,Angular Developer
"HTML, Angular, RxJS",web development,BS Software Engineering,"Git, Figma, Webpack",senior,Angular Developer
"CSS, TypeScript, RxJS","user interfaces, design systems",BS Software Engineering,"Webpack, VS Code, npm",junior,Angular Developer
"RxJS, Angular, CSS","web development, design systems, user interfaces",BS Computer Science,"VS Code, Git, npm",entry,Angular Developer
"Angular, TypeScript, HTML, RxJS",design systems,BS Computer Science,"npm, Webpack, VS Code",senior,Angular Developer
"TypeScript, Angular, HTML, CSS","user interfaces, design systems",BS Software Engineering,"VS Code, npm, Webpack",senior,Angular Developer
"RxJS, Angular, HTML, CSS, TypeScript","user interfaces, web development, design systems",BS Computer Science,"Webpack, Git",entry,Angular Developer
"CSS, Angular, HTML, RxJS",web development,BS Computer Science,"Webpack, npm",junior,Angular Developer
"Angular, TypeScript, HTML, CSS","user interfaces, design systems",BS Software Engineering,"npm, Webpack",junior,Angular Developer
"RxJS, TypeScript, Angular","design systems, web development, user interfaces",BS Computer Science,npm,senior,Angular Developer
"Vue.js, REST API, CSS",design systems,BS Computer Science,"Git, Webpack, VS Code",junior,Vue.js Developer
"REST API, Vue.js, HTML, CSS, JavaScript","design systems, user interfaces, web development",BS Computer Science,"Figma, Git, Webpack",senior,Vue.js Developer
"HTML, CSS, JavaScript",web development,BS Software Engineering,"npm, VS Code, Webpack",junior,Vue.js Developer
"HTML, JavaScript, CSS, Vue.js, REST API","user interfaces, web development",BS Software Engineering,"Figma, VS Code, npm",mid,Vue.js Developer
"Vue.js, JavaScript, CSS, REST API, HTML","design systems, web development, user interfaces",BS Software Engineering,"Git, Figma, VS Code",mid,Vue.js Developer
"CSS, HTML, Vue.js, REST API, JavaScript","web development, design systems",BS Software Engineering,Figma,junior,Vue.js Developer
"CSS, REST API, HTML, Vue.js, JavaScript",design systems,BS Computer Science,"VS Code, Figma, Webpack",junior,Vue.js Developer
"JavaScript, Vue.js, REST API, HTML",user interfaces,BS Computer Science,"Git, VS Code, npm",senior,Vue.js Developer
"JavaScript, REST API, Vue.js, HTML, CSS",web development,BS Software Engineering,"Git, Figma",junior,Vue.js Developer
"Vue.js, CSS, REST API, JavaScript, HTML",user interfaces,BS Software Engineering,"Git, npm",entry,Vue.js Developer
"JavaScript, HTML, CSS, Bootstrap","design systems, user interfaces, web development",BS Computer Science,Figma,junior,Frontend Developer
