skills,interests,education,tools,experience_level,career
"python, django, rest api, sql","backend systems, scalability","BS Computer Science","docker, git, postgresql","entry",Software Developer
"python, flask, api integration","web services, automation","BS Software Engineering","git, redis, postman","junior",Software Developer
"php, laravel, mysql","web applications, refactoring","BS Computer Science","git, docker, mysql","junior",Software Developer
"javascript, typescript, node","full stack, performance","BS Computer Science","git, github actions, redis","mid",Software Developer
"java, spring, sql","enterprise systems, microservices","BS Computer Science","docker, kafka, mysql","mid",Software Developer
"python, fastapi, sql","backend services, reliability","BS Computer Science","git, docker, postgres","entry",Software Developer
"c#, .net, sql","api development, maintainability","BS Computer Science","azure devops, git","mid",Software Developer
"go, grpc, sql","high performance services","BS Computer Science","docker, kubernetes","senior",Software Developer
"python, testing, clean code","engineering quality, collaboration","BS Computer Science","pytest, git, github","entry",Software Developer
"sql, data modeling, api","backend architecture","BS Computer Science","dbt, git, postman","mid",Software Developer
"frontend, javascript, api","web products, UX","BS Computer Science","react, git","junior",Software Developer
"python, celery, redis","task queues, automation","BS Computer Science","docker, redis, git","mid",Software Developer
"c++, algorithms, sql","system design, optimization","BS Computer Science","cmake, git, mysql","senior",Software Developer
"php, symfony, sql","backend features, maintenance","BS Computer Science","git, docker","junior",Software Developer
"python, pandas, api","backend analytics services","BS Computer Science","docker, postgres","entry",Software Developer
"ruby, rails, sql","web apps, teamwork","BS Computer Science","git, heroku","junior",Software Developer
"python, grpc, monitoring","distributed systems","BS Computer Science","prometheus, docker","senior",Software Developer
"java, spring boot, sql","microservices, integrations","BS Computer Science","git, maven","mid",Software Developer
"typescript, node, sql","api development, testing","BS Computer Science","jest, git, docker","junior",Software Developer
"python, api security, sql","secure backend","BS Computer Science","docker, postgres","mid",Software Developer
"sql, excel, data cleaning","business insights","BS Statistics","power bi, excel","entry",Data Analyst
"python, pandas, sql","analytics, reporting","BS Data Science","jupyter, matplotlib","junior",Data Analyst
"sql, tableau, data visualization","dashboards, storytelling","BS Business Analytics","tableau, excel","junior",Data Analyst
"excel, statistics, reporting","kpi tracking","BS Economics","excel, google sheets","entry",Data Analyst
"python, seaborn, sql","trend analysis","BS Data Science","jupyter, pandas","junior",Data Analyst
"sql, data modeling, etl","data pipelines","BS Computer Science","dbt, airflow","mid",Data Analyst
"r, statistics, sql","market research","BS Statistics","r, excel","entry",Data Analyst
"sql, window functions, reporting","retention analysis","BS Business","power bi, excel","junior",Data Analyst
"python, api data, sql","product analytics","BS Data Science","pandas, jupyter","mid",Data Analyst
"excel, pivot tables, sql","operations analysis","BS Business Analytics","excel, power bi","entry",Data Analyst
"python, forecasting, sql","demand planning","BS Statistics","prophet, pandas","mid",Data Analyst
"sql, dashboards, metrics","growth analytics","BS Business","tableau, google data studio","junior",Data Analyst
"python, data quality, sql","data governance","BS Data Science","great expectations, pandas","mid",Data Analyst
"excel, reporting, kpis","finance analytics","BS Finance","excel, power bi","entry",Data Analyst
"python, scipy, sql","experiment analysis","BS Data Science","jupyter, seaborn","junior",Data Analyst
"sql, data warehousing, etl","warehouse modeling","BS Computer Science","snowflake, dbt","mid",Data Analyst
"python, sql, visualization","customer insights","BS Business Analytics","matplotlib, power bi","entry",Data Analyst
"excel, sql, data validation","audit analytics","BS Accounting","excel, sql","entry",Data Analyst
"sql, churn analysis, reporting","customer success","BS Business","tableau, excel","junior",Data Analyst
"python, data extraction, sql","data integration","BS Data Science","requests, pandas","junior",Data Analyst
"networking, siem, incident response","threat monitoring","BS Computer Science","splunk, wireshark","entry",Cybersecurity Analyst
"linux, log analysis, security","soc operations","BS Information Security","elk, osquery","junior",Cybersecurity Analyst
"vulnerability scanning, risk assessment","compliance, audit","BS Information Security","nessus, qualys","junior",Cybersecurity Analyst
"firewalls, ids/ips, networking","network defense","BS Computer Science","palo alto, snort","mid",Cybersecurity Analyst
"malware analysis, forensics","incident handling","BS Information Security","volatility, yara","mid",Cybersecurity Analyst
"cloud security, iam","secure cloud systems","BS Computer Science","aws, azure","mid",Cybersecurity Analyst
"phishing analysis, email security","user awareness","BS Information Security","mimecast, splunk","entry",Cybersecurity Analyst
"siem, log correlation, triage","threat hunting","BS Information Security","splunk, elastic","junior",Cybersecurity Analyst
"penetration testing, web security","owasp","BS Computer Science","burp suite, nmap","mid",Cybersecurity Analyst
"patch management, hardening","system security","BS Information Security","ansible, linux","entry",Cybersecurity Analyst
"risk management, compliance","policy enforcement","BS Information Security","grc tools","senior",Cybersecurity Analyst
"endpoint security, edr","incident response","BS Computer Science","crowdstrike, defender","junior",Cybersecurity Analyst
"network monitoring, packet analysis","security operations","BS Computer Science","wireshark, zeek","entry",Cybersecurity Analyst
"identity access, zero trust","security architecture","BS Information Security","okta, azure ad","mid",Cybersecurity Analyst
"security auditing, logging","governance","BS Information Security","elastic, auditd","mid",Cybersecurity Analyst
"threat intel, reporting","security strategy","BS Information Security","misp, splunk","senior",Cybersecurity Analyst
"web app security, sdlc","secure development","BS Computer Science","burp, git","mid",Cybersecurity Analyst
"security automation, scripting","soc optimization","BS Computer Science","python, splunk","junior",Cybersecurity Analyst
"incident response, playbooks","soc operations","BS Information Security","thehive, cortex","mid",Cybersecurity Analyst
"model training, scikit-learn, python","machine learning","BS Data Science","jupyter, pandas","junior",AI Engineer
"nlp, text processing, python","language models","BS Data Science","spacy, sklearn","junior",AI Engineer
"feature engineering, pipelines","ml workflows","BS Data Science","mlflow, pandas","mid",AI Engineer
"deep learning basics, data prep","ai experimentation","BS Computer Science","pytorch, numpy","entry",AI Engineer
"recommendation systems, evaluation","personalization","BS Data Science","pandas, sklearn","mid",AI Engineer
"model deployment, flask, api","ml serving","BS Computer Science","docker, fastapi","mid",AI Engineer
"data labeling, dataset curation","ml data","BS Data Science","label studio, pandas","entry",AI Engineer
"model monitoring, drift detection","ml ops","BS Data Science","evidently, prometheus","senior",AI Engineer
"vectorization, tf-idf, n-grams","text classification","BS Data Science","sklearn, jupyter","junior",AI Engineer
"time series forecasting, evaluation","predictive analytics","BS Data Science","prophet, pandas","mid",AI Engineer
"hyperparameter tuning, cross validation","model optimization","BS Data Science","optuna, sklearn","senior",AI Engineer
"data pipelines, feature stores","ml infrastructure","BS Computer Science","airflow, feast","senior",AI Engineer
"computer vision basics, augmentation","image models","BS Data Science","opencv, numpy","entry",AI Engineer
"api design, inference latency","production ml","BS Computer Science","docker, gunicorn","mid",AI Engineer
"experiment tracking, reproducibility","ml research","BS Data Science","mlflow, git","mid",AI Engineer
"deployment automation, ci/cd","ml ops","BS Computer Science","github actions, docker","senior",AI Engineer
"data ethics, bias evaluation","responsible ai","BS Data Science","pandas, sklearn","junior",AI Engineer
"wireframes, user research, figma","usability","BS Design","figma, miro","entry",UI/UX Designer
"prototypes, interaction design","product design","BS Design","figma, adobe xd","junior",UI/UX Designer
"design systems, typography","visual design","BS Design","figma, zeplin","mid",UI/UX Designer
