title,level,location,required_skills,career_title
Junior Shopify Developer,Entry,Remote,"Shopify, Liquid, HTML, CSS",Shopify Developer
WordPress Theme Developer,Junior,Remote,"WordPress, PHP, CSS",WordPress Developer
Frontend React Developer,Mid,Lahore,"React, TypeScript, CSS",React Developer
Angular Engineer,Mid,Karachi,"Angular, TypeScript, RxJS",Angular Developer
Backend Django Developer,Junior,Remote,"Python, Django, PostgreSQL",Django Developer
Python Automation Engineer,Entry,Islamabad,"Python, Flask, Git",Python Developer
Machine Learning Engineer,Senior,Remote,"Python, PyTorch, MLOps",AI Engineer
Data Analyst Intern,Intern,Remote,"SQL, Excel, Power BI",Data Analyst
DevOps Engineer,Mid,Remote,"Docker, Kubernetes, AWS",DevOps Engineer
Product Designer,Mid,Lahore,"Figma, Prototyping, User Research",UI/UX Designer
